bool a_0,bool a_1,bool a_2,bool b_0,bool b_1,bool b_2,bool c_0,bool c_1,bool c_2,bool d_0,bool d_1,bool d_2
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0
0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1
1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0
1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0
1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0
0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0
0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1
1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0
0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0
0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1
1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0
0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0
1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0
0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1
1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0
1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0
1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0
0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0
0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0
0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0
1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0
1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1
1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0
0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0
1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0
0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0
1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0
0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0
0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0
0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0
0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1
0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0
1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0
0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1
0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0
0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0
0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1
0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0
1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0
0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0
1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0
1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1
1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1
0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1
1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0
1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0
1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0
1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0
1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0
1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0
1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0
0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1
0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1
1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0
0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1
1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0
1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0
0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0
0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0
0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1
0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0
0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0
1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1
1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1
1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1
1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1
0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0
0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0
0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0
1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0
0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1
1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1
0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0
1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0
1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0
0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1
1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0
1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0
1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0
1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0
1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0
1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0
1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0
1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0
1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0
0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1
0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0
0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0
0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0
1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0
0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0
0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0
1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1
1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1
1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0
1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0
0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0
1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0
0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0
1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0
0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0
1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
